KOATUU;Relevant Community;question_id;question;response;Clarification;Number Responded
1423385002;Heorhiivka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Not needed;4
1423385002;Heorhiivka;comm_q3;Does the community have a local court?;No;Not needed;4
1423385002;Heorhiivka;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are not present;Clarified;
1423385002;Heorhiivka;comm_q69;Are there any child friendly space in the community?;Insufficient;Clarified;
1423385002;Heorhiivka;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1423385002;Heorhiivka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Not in last three months but has happened;Clarified;
1423385002;Heorhiivka;comm_q73;What is the primary source of drinking water in the community?;water trucking;Not needed;4
1423385002;Heorhiivka;comm_q74;Do most households treat the water before drinking?;No;Not needed;4
1423387401;Stepne;comm_q1;Does the community have a police station?;No;Not needed;4
1423387401;Stepne;comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, infrequently;Not needed;4
1423387401;Stepne;comm_q13;Have there been any gas shortages in the last 3 months?;No;Not needed;4
1423387401;Stepne;comm_q14;Have there been any water shortages in the past three months?;Yes, daily;Not needed;4
1423387401;Stepne;comm_q15;Have there been any heating shortages during the last winter?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1423387401;Stepne;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Not needed;4
1423387401;Stepne;comm_q3;Does the community have a local court?;No;Not needed;4
1423387401;Stepne;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;4
1423387401;Stepne;comm_q69;Are there any child friendly space in the community?;Yes, insufficient;Clarified;
1423387401;Stepne;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1423387401;Stepne;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;"No statistics. ""I try not to pay attention on shelling""";Clarified;
1423387401;Stepne;comm_q73;What is the primary source of drinking water in the community?;water trucking;Not needed;4
1423387401;Stepne;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1423387402;Berezove;comm_q1;Does the community have a police station?;No;Not needed;3
1423387402;Berezove;comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, infrequently;Not needed;3
1423387402;Berezove;comm_q13;Have there been any gas shortages in the last 3 months?;No;Not needed;3
1423387402;Berezove;comm_q14;Have there been any water shortages in the past three months?;Yes, daily;Not needed;3
1423387402;Berezove;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;3
1423387402;Berezove;comm_q17;Are construction materials available in the community markets or in nearby markets?;Very limited availability;Clarified;
1423387402;Berezove;comm_q3;Does the community have a local court?;No;Not needed;3
1423387402;Berezove;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;3
1423387402;Berezove;comm_q69;Are there any child friendly space in the community?;Yes, insufficient;Not needed;3
1423387402;Berezove;comm_q71;Are psycho-social support services available in the community?;Yes, insufficient;Clarified;
1423387402;Berezove;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;"No statistics. ""I try not to pay attention on shelling, but let it be weekly""";Clarified;
1423387402;Berezove;comm_q73;What is the primary source of drinking water in the community?;water trucking;Not needed;3
1423387402;Berezove;comm_q74;Do most households treat the water before drinking?;No;Not needed;3
1423387405;Taramchuk;comm_q1;Does the community have a police station?;No;Not needed;4
1423387405;Taramchuk;comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, infrequently;Not needed;4
1423387405;Taramchuk;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1423387405;Taramchuk;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'The community has no water supply' and some of them 'Yes, daily';Clarified;
1423387405;Taramchuk;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1423387405;Taramchuk;comm_q17;Are construction materials available in the community markets or in nearby markets?;Very limited availability;Clarified;
1423387405;Taramchuk;comm_q3;Does the community have a local court?;No;Not needed;4
1423387405;Taramchuk;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;4
1423387405;Taramchuk;comm_q69;Are there any child friendly space in the community?;No;Not needed;4
1423387405;Taramchuk;comm_q71;Are psycho-social support services available in the community?;No, required;Not needed;4
1423387405;Taramchuk;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;4
1423387405;Taramchuk;comm_q73;What is the primary source of drinking water in the community?;water trucking;Not needed;4
1423387405;Taramchuk;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1425555200;Verkhnotoretske (GCA);comm_q1;Does the community have a police station?;No;Not needed;4
1425555200;Verkhnotoretske (GCA);comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, daily' and some of them 'Yes, weekly';Clarified;
1425555200;Verkhnotoretske (GCA);comm_q13;Have there been any gas shortages in the last 3 months?;Most of respondents 'The community does not use gas' and some of them 'Yes, daily';Clarified;
1425555200;Verkhnotoretske (GCA);comm_q14;Have there been any water shortages in the past three months?;Yes, infrequently;Not needed;4
1425555200;Verkhnotoretske (GCA);comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1425555200;Verkhnotoretske (GCA);comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1425555200;Verkhnotoretske (GCA);comm_q3;Does the community have a local court?;No;Not needed;4
1425555200;Verkhnotoretske (GCA);comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;3
1425555200;Verkhnotoretske (GCA);comm_q69;Are there any child friendly space in the community?;Insufficient;Clarified;
1425555200;Verkhnotoretske (GCA);comm_q71;Are psycho-social support services available in the community?;Yes, insufficient;Clarified;
1425555200;Verkhnotoretske (GCA);comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Clarified;
1425555200;Verkhnotoretske (GCA);comm_q73;What is the primary source of drinking water in the community?;Equally 'piped drinking water' and 'water trucking';Clarified;
1425555200;Verkhnotoretske (GCA);comm_q74;Do most households treat the water before drinking?;No;Clarified;
1425555203;Troitske;comm_q1;Does the community have a police station?;No;Not needed;4
1425555203;Troitske;comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, infrequently;Not needed;4
1425555203;Troitske;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1425555203;Troitske;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;4
1425555203;Troitske;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1425555203;Troitske;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1425555203;Troitske;comm_q3;Does the community have a local court?;No;Not needed;3
1425555203;Troitske;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Clarified;
1425555203;Troitske;comm_q69;Are there any child friendly space in the community?;Yes, sufficient;Clarified;
1425555203;Troitske;comm_q71;Are psycho-social support services available in the community?;Yes, insufficient;Clarified;
1425555203;Troitske;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Not in last three months but has happened;Clarified;
1425555203;Troitske;comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'well' and some of them 'water trucking';Clarified;
1425555203;Troitske;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1425582102;Vesele;comm_q1;Does the community have a police station?;No;Not needed;2
1425582102;Vesele;comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, weekly;Not needed;2
1425582102;Vesele;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;2
1425582102;Vesele;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;2
1425582102;Vesele;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;2
1425582102;Vesele;comm_q17;Are construction materials available in the community markets or in nearby markets?;Not available;Not needed;2
1425582102;Vesele;comm_q3;Does the community have a local court?;No;Not needed;2
1425582102;Vesele;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are not present;Not needed;2
1425582102;Vesele;comm_q69;Are there any child friendly space in the community?;No;Not needed;2
1425582102;Vesele;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1425582102;Vesele;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily - 50%, infrequently - 50%;Clarified;
1425582102;Vesele;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;2
1425582102;Vesele;comm_q74;Do most households treat the water before drinking?;50/50;Clarified;
1425582103;Kamianka;comm_q1;Does the community have a police station?;No;Not needed;3
1425582103;Kamianka;comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, infrequently - 67%, Yes, weekly - 33%;Clarified;
1425582103;Kamianka;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;3
1425582103;Kamianka;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply - 67%, Yes, infrequently - 33%;Clarified;
1425582103;Kamianka;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;3
1425582103;Kamianka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability - 67%, Not available - 33%;Clarified;
1425582103;Kamianka;comm_q3;Does the community have a local court?;No;Not needed;3
1425582103;Kamianka;comm_q66;Are there any landmines/other ERW in community?;50/50 present and not present;Clarified;
1425582103;Kamianka;comm_q69;Are there any child friendly space in the community?;No;Not needed;3
1425582103;Kamianka;comm_q71;Are psycho-social support services available in the community?;Yes, sufficient;Not needed;3
1425582103;Kamianka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily - 33%, Weekly - 67%;Clarified;
1425582103;Kamianka;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;3
1425582103;Kamianka;comm_q74;Do most households treat the water before drinking?;No;Not needed;3
1425582104;Novoselivka Druha;comm_q1;Does the community have a police station?;No;Not needed;1
1425582104;Novoselivka Druha;comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, daily;Not needed;1
1425582104;Novoselivka Druha;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;1
1425582104;Novoselivka Druha;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;1
1425582104;Novoselivka Druha;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;1
1425582104;Novoselivka Druha;comm_q17;Are construction materials available in the community markets or in nearby markets?;Not available;Not needed;1
1425582104;Novoselivka Druha;comm_q3;Does the community have a local court?;No;Not needed;1
1425582104;Novoselivka Druha;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;1
1425582104;Novoselivka Druha;comm_q69;Are there any child friendly space in the community?;No;Not needed;1
1425582104;Novoselivka Druha;comm_q71;Are psycho-social support services available in the community?;No, required;Not needed;1
1425582104;Novoselivka Druha;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;1
1425582104;Novoselivka Druha;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;1
1425583101;Novobakhmutivka;comm_q1;Does the community have a police station?;No;Not needed;4
1425583101;Novobakhmutivka;comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, infrequently;Not needed;4
1425583101;Novobakhmutivka;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1425583101;Novobakhmutivka;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'Yes, infrequently' and some of them 'The community has no water supply';Clarified;
1425583101;Novobakhmutivka;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1425583101;Novobakhmutivka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Yes;Clarified;
1425583101;Novobakhmutivka;comm_q3;Does the community have a local court?;No;Not needed;4
1425583101;Novobakhmutivka;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;4
1425583101;Novobakhmutivka;comm_q69;Are there any child friendly space in the community?;Yes, sufficient;Not needed;4
1425583101;Novobakhmutivka;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1425583101;Novobakhmutivka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Not in last three months but has happened;Clarified;
1425583101;Novobakhmutivka;comm_q73;What is the primary source of drinking water in the community?;Equally 'piped drinking water' and 'well';Clarified;
1425583101;Novobakhmutivka;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1425585401;Pervomaiske;comm_q1;Does the community have a police station?;No;Not needed;4
1425585401;Pervomaiske;comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, infrequently;Not needed;4
1425585401;Pervomaiske;comm_q13;Have there been any gas shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'No';Clarified;
1425585401;Pervomaiske;comm_q14;Have there been any water shortages in the past three months?;Yes, infrequently;Not needed;4
1425585401;Pervomaiske;comm_q15;Have there been any heating shortages during the last winter?;No;Not needed;4
1425585401;Pervomaiske;comm_q17;Are construction materials available in the community markets or in nearby markets?;Not available;Not needed;4
1425585401;Pervomaiske;comm_q3;Does the community have a local court?;No;Not needed;4
1425585401;Pervomaiske;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;2
1425585401;Pervomaiske;comm_q69;Are there any child friendly space in the community?;No;Not needed;4
1425585401;Pervomaiske;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1425585401;Pervomaiske;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;"""secret information""";Clarified;
1425585401;Pervomaiske;comm_q73;What is the primary source of drinking water in the community?;piped drinking water;Not needed;4
1425585401;Pervomaiske;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1425585402;Nevelske;comm_q1;Does the community have a police station?;No;Not needed;4
1425585402;Nevelske;comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, infrequently;Not needed;4
1425585402;Nevelske;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1425585402;Nevelske;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'The community has no water supply' and some of them 'Yes, daily';Clarified;
1425585402;Nevelske;comm_q15;Have there been any heating shortages during the last winter?;Most of respondents 'No centralized heating in the community' and some of them 'No';Clarified;
1425585402;Nevelske;comm_q17;Are construction materials available in the community markets or in nearby markets?;Not available;Not needed;4
1425585402;Nevelske;comm_q3;Does the community have a local court?;No;Not needed;4
1425585402;Nevelske;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are present;Clarified;
1425585402;Nevelske;comm_q69;Are there any child friendly space in the community?;No;Not needed;4
1425585402;Nevelske;comm_q71;Are psycho-social support services available in the community?;No, required;Not needed;4
1425585402;Nevelske;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;4
1425585402;Nevelske;comm_q73;What is the primary source of drinking water in the community?;water trucking;Not needed;4
1425585402;Nevelske;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1425585602;Vodiane;comm_q1;Does the community have a police station?;No;Not needed;4
1425585602;Vodiane;comm_q12;Have there been any electricity shortages in the last 3 months?;Equally 'Yes, daily' and 'Yes, infrequently';Clarified;
1425585602;Vodiane;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1425585602;Vodiane;comm_q14;Have there been any water shortages in the past three months?;Yes, daily;Not needed;4
1425585602;Vodiane;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1425585602;Vodiane;comm_q17;Are construction materials available in the community markets or in nearby markets?;Not available;Not needed;4
1425585602;Vodiane;comm_q3;Does the community have a local court?;No;Not needed;4
1425585602;Vodiane;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are present;Clarified;
1425585602;Vodiane;comm_q69;Are there any child friendly space in the community?;No;Not needed;4
1425585602;Vodiane;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1425585602;Vodiane;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;4
1425585602;Vodiane;comm_q73;What is the primary source of drinking water in the community?;water trucking;Not needed;4
1425585602;Vodiane;comm_q74;Do most households treat the water before drinking?;Yes;Not needed;4
1425585604;Sieverne;comm_q1;Does the community have a police station?;No;Not needed;4
1425585604;Sieverne;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'Yes, weekly';Clarified;
1425585604;Sieverne;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1425585604;Sieverne;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;4
1425585604;Sieverne;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1425585604;Sieverne;comm_q17;Are construction materials available in the community markets or in nearby markets?;Very limited availability;Clarified;
1425585604;Sieverne;comm_q3;Does the community have a local court?;No;Not needed;4
1425585604;Sieverne;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;4
1425585604;Sieverne;comm_q69;Are there any child friendly space in the community?;No;Not needed;4
1425585604;Sieverne;comm_q71;Are psycho-social support services available in the community?;No, required;Not needed;4
1425585604;Sieverne;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;4
1425585604;Sieverne;comm_q73;What is the primary source of drinking water in the community?;well;Clarified;
1425585604;Sieverne;comm_q74;Do most households treat the water before drinking?;Yes;Clarified;
1425586503;Novoselivka;comm_q1;Does the community have a police station?;No;Not needed;4
1425586503;Novoselivka;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'Yes, weekly';Clarified;
1425586503;Novoselivka;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1425586503;Novoselivka;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;4
1425586503;Novoselivka;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1425586503;Novoselivka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Not available;Not needed;4
1425586503;Novoselivka;comm_q3;Does the community have a local court?;No;Not needed;4
1425586503;Novoselivka;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;4
1425586503;Novoselivka;comm_q69;Are there any child friendly space in the community?;Yes, sufficient;Not needed;4
1425586503;Novoselivka;comm_q71;Are psycho-social support services available in the community?;No, required;Not needed;4
1425586503;Novoselivka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Not in last three months but has happened;Clarified;
1425586503;Novoselivka;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;4
1425586503;Novoselivka;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1425587606;Opytne;comm_q1;Does the community have a police station?;No;Not needed;1
1425587606;Opytne;comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, daily;Not needed;1
1425587606;Opytne;comm_q13;Have there been any gas shortages in the last 3 months?;Yes, daily;Not needed;1
1425587606;Opytne;comm_q14;Have there been any water shortages in the past three months?;Yes, daily;Not needed;1
1425587606;Opytne;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;1
1425587606;Opytne;comm_q17;Are construction materials available in the community markets or in nearby markets?;Not available;Not needed;1
1425587606;Opytne;comm_q3;Does the community have a local court?;No;Not needed;1
1425587606;Opytne;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;1
1425587606;Opytne;comm_q69;Are there any child friendly space in the community?;No;Not needed;1
1425587606;Opytne;comm_q71;Are psycho-social support services available in the community?;No, required;Not needed;1
1425587606;Opytne;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;1
1425587606;Opytne;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;1
1425587606;Opytne;comm_q74;Do most households treat the water before drinking?;No;Not needed;1
4423110100;Shchastia;comm_q1;Does the community have a police station?;Yes, functioning;Not needed;4
4423110100;Shchastia;comm_q12;Have there been any electricity shortages in the last 3 months?;No;Not needed;4
4423110100;Shchastia;comm_q13;Have there been any gas shortages in the last 3 months?;No;Not needed;3
4423110100;Shchastia;comm_q14;Have there been any water shortages in the past three months?;No;Not needed;4
4423110100;Shchastia;comm_q15;Have there been any heating shortages during the last winter?;No;Not needed;4
4423110100;Shchastia;comm_q17;Are construction materials available in the community markets or in nearby markets?;Fully available;Not needed;3
4423110100;Shchastia;comm_q3;Does the community have a local court?;No;Not needed;3
4423110100;Shchastia;comm_q66;Are there any landmines/other ERW in community?;Landmines\EWR are not present;Clarified;
4423110100;Shchastia;comm_q69;Are there any child friendly space in the community?;Yes, sufficient;Clarified;
4423110100;Shchastia;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
4423110100;Shchastia;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Every day for the last 3 days but before there has been no shelling more than for 3 months;Clarified;
4423110100;Shchastia;comm_q73;What is the primary source of drinking water in the community?;piped drinking water;Not needed;4
4423110100;Shchastia;comm_q74;Do most households treat the water before drinking?;No;Clarified;
4423183601;Krymske;comm_q1;Does the community have a police station?;No. Policeman from Novoaidar and police patrol ;Clarified;
4423183601;Krymske;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'No';Clarified;
4423183601;Krymske;comm_q13;Have there been any gas shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'The community does not use gas';Clarified;
4423183601;Krymske;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'The community has no water supply' and some of them 'Yes, infrequently';Clarified;
4423183601;Krymske;comm_q15;Have there been any heating shortages during the last winter?;Most of respondents 'No centralized heating in the community' and some of them 'Yes, infrequently';Clarified;
4423183601;Krymske;comm_q17;Are construction materials available in the community markets or in nearby markets?;Available at Novoaidarsk, Lysychansk;Clarified;
4423183601;Krymske;comm_q3;Does the community have a local court?;No;Not needed;3
4423183601;Krymske;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;3
4423183601;Krymske;comm_q69;Are there any child friendly space in the community?;Very insufficient;Clarified;
4423183601;Krymske;comm_q71;Are psycho-social support services available in the community?;No, required;Not needed;2
4423183601;Krymske;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;3
4423183601;Krymske;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;3
4423183601;Krymske;comm_q74;Do most households treat the water before drinking?;No;Not needed;3
4423187701;Trokhizbenka;comm_q1;Does the community have a police station?;Yes, functioning;Not needed;4
4423187701;Trokhizbenka;comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, infrequently;Not needed;4
4423187701;Trokhizbenka;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
4423187701;Trokhizbenka;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;4
4423187701;Trokhizbenka;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
4423187701;Trokhizbenka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Not available;Clarified;
4423187701;Trokhizbenka;comm_q3;Does the community have a local court?;No;Not needed;4
4423187701;Trokhizbenka;comm_q66;Are there any landmines/other ERW in community?;Landmines\EWR are present;Clarified;
4423187701;Trokhizbenka;comm_q69;Are there any child friendly space in the community?;Yes, insufficient;Not needed;4
4423187701;Trokhizbenka;comm_q71;Are psycho-social support services available in the community?;No, required;Not needed;2
4423187701;Trokhizbenka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Monthly;Clarified;
4423187701;Trokhizbenka;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;4
4423187701;Trokhizbenka;comm_q74;Do most households treat the water before drinking?;No;Not needed;4
4423187702;Kriakivka;comm_q1;Does the community have a police station?;No;Not needed;6
4423187702;Kriakivka;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
4423187702;Kriakivka;comm_q13;Have there been any gas shortages in the last 3 months?;Most of respondents 'The community does not use gas' and some of them 'Yes, daily';Clarified;
4423187702;Kriakivka;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;6
4423187702;Kriakivka;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;6
4423187702;Kriakivka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Not available;Clarified;
4423187702;Kriakivka;comm_q3;Does the community have a local court?;No;Not needed;6
4423187702;Kriakivka;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;6
4423187702;Kriakivka;comm_q69;Are there any child friendly space in the community?;No;Not needed;6
4423187702;Kriakivka;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
4423187702;Kriakivka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Monthly;Clarified;
4423187702;Kriakivka;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;6
4423187702;Kriakivka;comm_q74;Do most households treat the water before drinking?;No;Not needed;6
4423187703;Orikhove-Donetske;comm_q1;Does the community have a police station?;No;Not needed;1
4423187703;Orikhove-Donetske;comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, infrequently;Not needed;1
4423187703;Orikhove-Donetske;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;1
4423187703;Orikhove-Donetske;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;1
4423187703;Orikhove-Donetske;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;1
4423187703;Orikhove-Donetske;comm_q17;Are construction materials available in the community markets or in nearby markets?;Not available;Not needed;1
4423187703;Orikhove-Donetske;comm_q3;Does the community have a local court?;No;Not needed;1
4423187703;Orikhove-Donetske;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;1
4423187703;Orikhove-Donetske;comm_q69;Are there any child friendly space in the community?;No;Not needed;1
4423187703;Orikhove-Donetske;comm_q71;Are psycho-social support services available in the community?;No, not required;Not needed;1
4423187703;Orikhove-Donetske;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;1
4423187703;Orikhove-Donetske;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;1
4423187703;Orikhove-Donetske;comm_q74;Do most households treat the water before drinking?;No;Not needed;1
4423187705;Lobacheve;comm_q1;Does the community have a police station?;No;Not needed;2
4423187705;Lobacheve;comm_q12;Have there been any electricity shortages in the last 3 months?;Equally 'No' and 'Yes, weekly';Clarified;
4423187705;Lobacheve;comm_q13;Have there been any gas shortages in the last 3 months?;No;Not needed;2
4423187705;Lobacheve;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;2
4423187705;Lobacheve;comm_q15;Have there been any heating shortages during the last winter?;Equally distributed (look at the options);Clarified;
4423187705;Lobacheve;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
4423187705;Lobacheve;comm_q3;Does the community have a local court?;No;Not needed;2
4423187705;Lobacheve;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;2
4423187705;Lobacheve;comm_q69;Are there any child friendly space in the community?;No;Not needed;2
4423187705;Lobacheve;comm_q71;Are psycho-social support services available in the community?;No, required;Not needed;2
4423187705;Lobacheve;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Not in last three months but has happened;Clarified;
4423187705;Lobacheve;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;2
4423187705;Lobacheve;comm_q74;Do most households treat the water before drinking?;No;Not needed;2
4423810100;Popasna;comm_q1;Does the community have a police station?;Yes, functioning;Clarified;
4423810100;Popasna;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'No' and some of them 'Yes, daily';Clarified;
4423810100;Popasna;comm_q13;Have there been any gas shortages in the last 3 months?;Most of respondents 'The community does not use gas' and some of them 'No';Clarified;
4423810100;Popasna;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'Yes, weekly' and some of them 'No';Clarified;
